 ,0,900,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900,10800,11700,12600,13500,14400,15300,16200,17100,18000,18900,19800,20700,21600,22500,23400,24300,25200,26100,27000,27900,28800,29700,30600,31500,32400,33300,34200,35100,36000,36900,37800,38700,39600,40500,41400,42300,43200,44100,45000,45900,46800,47700,48600,49500,50400,51300,52200,53100,54000,54900,55800,56700,57600,58500,59400,60300,61200,62100,63000,63900,64800,65700,66600,67500,68400,69300,70200,71100,72000,72900,73800,74700,75600,76500,77400,78300,79200,80100,81000,81900,82800,83700,84600,85500,86400
J-108,0.304092,0.324112,0.341565,0.357035,0.368237,0.379864,0.390351,0.330575,0.330692,0.329523,0.32807,0.326496,0.324903,0.323375,0.321927,0.320798,0.318333,0.319456,0.320819,0.320128,0.315127,0.312975,0.233502,0.22854,0.24393,0.243039,0.275377,0.30489,0.121087,0.113119,0.115282,0.136249,0.17193,0.200089,0.227341,0.250045,0.270268,0.289912,0.307495,0.323525,0.33858,0.353199,0.366878,0.379808,0.392097,0.40386,0.415179,0.426119,0.436649,0.446837,0.456804,0.466563,0.476879,0.485175,0.493501,0.501863,0.510442,0.51844,0.52652,0.534688,0.542914,0.551204,0.559559,0.567962,-1.69358,-2.2081,-0.598501,-0.560208,-0.557589,-0.527777,-0.491174,-0.463493,-0.425825,-0.399988,-0.378055,-0.359086,-0.333711,-0.320282,-0.307417,-0.295547,-0.281861,-0.271607,-0.261668,-0.251954,-0.246653,-0.235974,-0.225625,-0.215519,-0.243281,-0.222777,-0.211211,-0.20579,-0.189789,-0.1556,0.0320489,0.060803,0.0201099
J-109,0.0249153,0.03696,0.0484103,0.0593468,0.0695159,0.0796405,0.089443,0.0794275,0.0854924,0.0917296,0.0979524,0.104173,0.110351,0.116484,0.122509,0.12896,0.13691,0.144602,0.152016,0.160562,0.168324,0.176127,0.19642,0.205012,0.211176,0.218861,0.226044,0.233038,0.155567,0.152519,0.149093,0.147934,0.150906,0.15768,0.164978,0.172604,0.181152,0.189472,0.19783,0.206217,0.2149,0.223469,0.232037,0.240597,0.249169,0.257738,0.266303,0.274886,0.283358,0.291907,0.300479,0.309065,0.317421,0.325895,0.3344,0.342928,0.351386,0.359905,0.368452,0.37703,0.38563,0.39426,0.402913,0.411582,0.138074,-0.125737,-0.0843193,-0.137089,-0.190082,-0.228778,-0.254669,-0.270666,-0.277648,-0.279811,-0.278811,-0.275527,-0.271376,-0.265816,-0.259197,-0.251881,-0.244349,-0.236279,-0.227945,-0.219415,-0.210269,-0.20134,-0.192435,-0.183547,-0.168054,-0.157265,-0.147216,-0.13773,-0.123904,-0.113689,-0.0405754,-0.0305471,-0.0242073
J-11,2.77182,2.74965,2.72712,2.7043,2.7304,2.70734,2.68414,2.69218,2.71072,2.70408,2.69673,2.68871,2.68005,2.6708,2.66098,2.65063,2.60918,2.59772,2.58583,1.0006,1.05463,1.05896,1.25424,1.2578,1.4312,1.43353,1.43629,1.43948,1.4925,1.48819,1.50891,1.53273,1.81641,1.83375,1.85075,1.86715,1.96877,1.98274,1.99623,2.00919,2.05701,2.06875,2.08015,2.09119,2.10191,2.11232,2.12244,2.13229,2.1247,2.13427,2.14358,2.15262,2.11759,2.12643,2.135,2.14337,2.1351,2.14322,2.15122,2.15909,2.16688,2.1746,2.18226,0.827297,0.272965,-0.233216,0.675067,0.799873,0.95611,1.04564,1.1226,1.18936,1.35666,1.40841,1.44964,1.483,1.64231,1.66498,1.68559,1.70354,1.75555,1.76993,1.78329,1.7957,1.74792,1.75923,1.77016,1.78078,1.18054,1.19307,1.20501,1.21625,0.851193,0.864644,1.18972,1.15784,1.00271
J-110,0.201637,0.206541,0.21143,0.217221,0.225103,0.234977,0.244681,0.187883,0.203189,0.216973,0.229683,0.241368,0.252108,0.261984,0.270984,0.279242,0.286825,0.294004,0.300535,0.307921,0.312922,0.317644,0.339904,0.346291,0.351231,0.357544,0.363662,0.369758,0.0345086,0.0380053,0.0569637,0.0776693,0.128906,0.144906,0.160717,0.177234,0.20177,0.216802,0.231708,0.246047,0.262627,0.275761,0.288468,0.300759,0.312673,0.324222,0.335448,0.346382,0.355571,0.365976,0.376146,0.386117,0.39237,0.40207,0.41152,0.420796,0.428627,0.437619,0.446475,0.455238,0.463918,0.472528,0.481118,-3.19708,-3.42372,-4.22477,-0.899521,-0.802891,-0.741646,-0.66542,-0.59561,-0.535804,-0.491508,-0.443092,-0.40442,-0.373099,-0.352702,-0.32977,-0.309651,-0.292575,-0.278766,-0.264864,-0.252254,-0.240621,-0.228464,-0.218321,-0.208403,-0.198673,-0.18086,-0.170128,-0.159562,-0.149489,-0.131456,-0.120173,0.0776342,0.0501946,0.034431
J-111,0.334293,0.346355,0.358124,0.36955,0.378159,0.388605,0.398245,0.326003,0.331771,0.337813,0.343068,0.347744,0.351941,0.355715,0.359145,0.362332,0.368439,0.373021,0.377232,0.374783,0.382032,0.382941,0.316483,0.300932,0.295601,0.301658,0.322803,0.335809,0.150628,0.144469,0.163756,0.18667,0.239029,0.26584,0.295615,0.317732,0.345162,0.362877,0.378815,0.393467,0.410858,0.424121,0.436659,0.448619,0.46008,0.47113,0.481814,0.492181,0.500327,0.510184,0.519846,0.529334,0.535364,0.5439,0.552364,0.560768,0.567779,0.575877,0.583969,0.592046,0.600122,0.608221,-0.435339,-0.638986,-1.0324,-1.38945,-0.563224,-0.544345,-0.536885,-0.510201,-0.479161,-0.449032,-0.413219,-0.383132,-0.358241,-0.337233,-0.311872,-0.29445,-0.278038,-0.262915,-0.247518,-0.233954,-0.221159,-0.209229,-0.200208,-0.191825,-0.183119,-0.17422,-0.201707,-0.2007,-0.191812,-0.181161,-0.179984,-0.162313,0.108093,0.0994059,0.0727271
J-112,0.141503,0.156799,0.170848,0.183862,0.197484,0.208639,0.21913,0.124035,0.133107,0.139915,0.14569,0.150667,0.155074,0.159388,0.163602,0.167855,0.171903,0.177797,0.183412,0.190045,0.196264,0.200979,0.208138,0.216098,0.223611,0.231209,0.246958,0.258802,0.0612145,0.0674448,0.0898919,0.10891,0.147747,0.162952,0.177442,0.191311,0.211401,0.223976,0.236111,0.24785,0.262095,0.273166,0.283977,0.294548,0.304914,0.315074,0.325071,0.334912,0.343183,0.353012,0.36268,0.372184,0.379247,0.388247,0.397168,0.406009,0.413853,0.422519,0.431149,0.439749,0.448341,0.456915,0.465502,0.474071,-1.81843,-2.36184,-0.668812,-0.611906,-0.603908,-0.580371,-0.553194,-0.52953,-0.497612,-0.467451,-0.442152,-0.420606,-0.399116,-0.381853,-0.366084,-0.35209,-0.338454,-0.326354,-0.31505,-0.304331,-0.295772,-0.285718,-0.275802,-0.265992,-0.274007,-0.261717,-0.25126,-0.245455,-0.227674,-0.209808,0.0310001,0.0364609,0.0124331
J-113,0.113106,0.124499,0.135085,0.145132,0.154129,0.163182,0.171806,0.103653,0.108122,0.112354,0.116313,0.120078,0.123758,0.12739,0.130943,0.134793,0.139534,0.144492,0.149448,0.154502,0.159856,0.165056,0.176571,0.193293,0.200324,0.209234,0.21705,0.22499,0.0581891,0.0801528,0.0979483,0.112117,0.134236,0.147859,0.1607,0.17294,0.18704,0.198632,0.20974,0.22047,0.231815,0.242163,0.25226,0.262154,0.271866,0.281426,0.290858,0.300193,0.30906,0.318211,0.327287,0.336305,0.344722,0.353254,0.361792,0.370358,0.378695,0.387152,0.395637,0.40415,0.412699,0.421277,0.42989,0.438531,-1.95331,-2.31977,-0.376129,-0.36825,-0.420394,-0.444683,-0.446269,-0.44155,-0.434609,-0.423422,-0.412425,-0.401635,-0.39334,-0.383281,-0.372693,-0.362361,-0.352383,-0.341974,-0.332029,-0.322357,-0.312233,-0.302857,-0.293497,-0.284167,-0.263868,-0.247972,-0.234862,-0.223484,-0.203673,-0.191227,-0.0106079,0.00324125,-0.023624
J-114,0.342724,0.363907,0.382987,0.399841,0.414163,0.426943,0.438409,0.368167,0.367819,0.365842,0.363688,0.361703,0.359935,0.358394,0.357083,0.35609,0.354684,0.355919,0.357293,0.355799,0.350718,0.348004,0.276272,0.287018,0.302469,0.296402,0.307304,0.324773,0.179546,0.172562,0.178071,0.191228,0.227208,0.241988,0.258902,0.276496,0.296266,0.313702,0.330878,0.347611,0.363053,0.378625,0.393016,0.406474,0.419163,0.43118,0.442638,0.453644,0.464338,0.474315,0.484068,0.493635,0.504511,0.512443,0.52042,0.52842,0.536909,0.544495,0.552173,0.559936,0.567751,0.575633,-0.536939,-0.707252,-1.08023,-1.41288,-0.526015,-0.49869,-0.486185,-0.459689,-0.42864,-0.401719,-0.367774,-0.344881,-0.325427,-0.308507,-0.284076,-0.271666,-0.259811,-0.248511,-0.235209,-0.225501,-0.215926,-0.206561,-0.201452,-0.191227,-0.181274,-0.171495,-0.201065,-0.18382,-0.17384,-0.169579,-0.185336,-0.160313,0.0979229,0.10136,0.0743914
J-115,0.197752,0.206814,0.214685,0.221479,0.229228,0.234931,0.240025,0.247513,0.253222,0.258723,0.264133,0.269473,0.274794,0.280071,0.285284,0.290682,0.297483,0.304478,0.31125,0.31917,0.327276,0.335707,0.358033,0.366141,0.370986,0.378889,0.386268,0.393493,0.283206,0.297104,0.297909,0.297224,0.300936,0.308206,0.3158,0.323551,0.331852,0.340036,0.348178,0.356301,0.364538,0.372745,0.380922,0.389076,0.397225,0.405367,0.413502,0.421647,0.429764,0.437881,0.446025,0.454176,0.462383,0.470426,0.478491,0.486577,0.494682,0.502735,0.510826,0.518919,0.527033,0.535168,0.543314,0.279239,0.122971,-0.0709829,0.00764217,-0.0483374,-0.0963717,-0.128861,-0.146927,-0.153052,-0.151541,-0.146209,-0.139762,-0.132565,-0.126489,-0.118823,-0.110904,-0.102771,-0.0950996,-0.0868522,-0.0785022,-0.0700963,-0.0605711,-0.0518732,-0.0432413,-0.034657,-0.0141592,-0.00357239,0.00560194,0.0145816,0.0316022,0.0413746,0.147752,0.141932,0.135681
J-116,0.213762,0.218406,0.22305,0.228517,0.235953,0.245521,0.254953,0.200102,0.215258,0.228925,0.241545,0.25313,0.263761,0.273549,0.282464,0.290626,0.298153,0.30526,0.311695,0.31804,0.322968,0.327507,0.346066,0.352434,0.357515,0.363754,0.369835,0.375907,0.0390458,0.0423773,0.0613498,0.0821052,0.133768,0.149822,0.165656,0.182119,0.206878,0.221826,0.236706,0.251018,0.267668,0.280797,0.293484,0.305737,0.317637,0.329171,0.340372,0.351287,0.360403,0.370779,0.380922,0.390867,0.396983,0.406654,0.41609,0.425328,0.433096,0.442061,0.450892,0.459617,0.468266,0.476855,0.485394,-2.9669,-3.26113,-4.00455,-0.889185,-0.794572,-0.733281,-0.65756,-0.588549,-0.529308,-0.485092,-0.437274,-0.399091,-0.368152,-0.347433,-0.324749,-0.304822,-0.28787,-0.273987,-0.260183,-0.247628,-0.236064,-0.224193,-0.214112,-0.20423,-0.194554,-0.178547,-0.167998,-0.15756,-0.147596,-0.130278,-0.119116,0.0805293,0.0533501,0.0367411
J-117,0.341639,0.363272,0.382096,0.398691,0.411518,0.424085,0.435368,0.367944,0.366507,0.364112,0.361562,0.35899,0.356497,0.354131,0.351951,0.350267,0.348136,0.348865,0.349814,0.347797,0.342566,0.339516,0.250621,0.253624,0.269546,0.260632,0.276314,0.303765,0.148675,0.140864,0.145244,0.163299,0.200098,0.223612,0.249728,0.274572,0.295632,0.316714,0.33532,0.352092,0.367546,0.382717,0.396823,0.410076,0.422602,0.43454,0.445964,0.456971,0.467543,0.477597,0.487463,0.497129,0.507515,0.515547,0.523611,0.53173,0.540149,0.547853,0.555667,0.563569,0.571558,0.5796,0.587706,-0.992072,-1.26395,-1.76627,-0.555451,-0.530762,-0.524943,-0.497683,-0.466296,-0.438552,-0.402271,-0.377946,-0.357225,-0.339267,-0.31419,-0.301536,-0.289334,-0.277871,-0.264441,-0.254557,-0.244873,-0.235369,-0.230255,-0.219767,-0.209582,-0.199611,-0.2284,-0.208416,-0.197245,-0.193276,-0.204465,-0.167453,0.053955,0.0766685,0.0410974
J-118,0.327663,0.349777,0.368947,0.385869,0.39937,0.412203,0.423711,0.354136,0.352752,0.350266,0.347627,0.344967,0.342355,0.339993,0.33794,0.336351,0.334401,0.335167,0.336141,0.334043,0.328843,0.325796,0.239953,0.246548,0.262347,0.253726,0.265503,0.28688,0.140856,0.133248,0.13836,0.154378,0.190786,0.210465,0.232935,0.25591,0.277066,0.298862,0.317944,0.335041,0.350535,0.365901,0.380137,0.393471,0.40606,0.418021,0.429486,0.440498,0.45112,0.461165,0.471,0.480655,0.491219,0.49919,0.507217,0.515291,0.523719,0.531381,0.539137,0.546987,0.554902,0.562881,0.570924,-0.844195,-1.18969,-1.6189,-0.561489,-0.537,-0.528468,-0.502216,-0.47166,-0.444285,-0.409117,-0.385509,-0.36542,-0.347967,-0.323255,-0.310845,-0.298898,-0.287595,-0.274293,-0.264564,-0.254969,-0.245566,-0.240451,-0.230086,-0.22001,-0.210138,-0.238811,-0.21979,-0.208948,-0.204883,-0.221243,-0.189909,0.0495462,0.061871,0.0321109
J-119,0.222541,0.231486,0.239208,0.245795,0.253341,0.258737,0.263396,0.272101,0.277759,0.283248,0.288643,0.293986,0.299278,0.304542,0.309755,0.315145,0.321914,0.328894,0.335673,0.343532,0.351726,0.360171,0.382672,0.390822,0.395943,0.403916,0.411399,0.41872,0.308026,0.322354,0.3232,0.322471,0.326347,0.333594,0.341154,0.34887,0.357189,0.365339,0.373451,0.381529,0.389734,0.397893,0.406015,0.414117,0.422223,0.430306,0.438399,0.446494,0.454527,0.462604,0.470671,0.47877,0.486884,0.494873,0.502882,0.510902,0.518938,0.526943,0.534958,0.543009,0.551061,0.559133,0.567206,0.297598,0.146503,-0.038642,0.0258562,-0.0292186,-0.0754025,-0.106453,-0.123185,-0.128464,-0.126639,-0.12115,-0.11463,-0.107388,-0.101174,-0.0934731,-0.0855733,-0.0774489,-0.0697318,-0.0614733,-0.0531281,-0.0447049,-0.0352313,-0.0265397,-0.0179008,-0.00929742,0.0106592,0.0212433,0.0303956,0.0394424,0.0561737,0.0659535,0.173024,0.166459,0.160793
J-12,0.77307,0.777652,0.781869,0.785767,0.795105,0.798435,0.801507,0.808012,0.816565,0.822029,0.827282,0.832331,0.837158,0.841801,0.846233,0.850488,0.851204,0.855101,0.858821,0.656804,0.804566,0.812191,0.860193,0.8619,0.956406,0.956481,0.957356,0.958668,0.849263,0.818005,0.840214,0.866977,1.04416,1.06356,1.08246,1.10056,1.16684,1.18218,1.1969,1.21098,1.24457,1.25726,1.26952,1.28136,1.29282,1.30392,1.31469,1.32515,1.32558,1.3357,1.3455,1.35505,1.3397,1.3489,1.35785,1.36659,1.36588,1.37435,1.38266,1.39085,1.39895,1.40697,1.41495,0.281543,-0.388505,-0.78279,-0.0315988,0.0825685,0.19971,0.28259,0.354337,0.417095,0.527691,0.57526,0.613204,0.643973,0.739069,0.76022,0.779469,0.796534,0.830796,0.844471,0.85733,0.869261,0.848944,0.859702,0.870119,0.8803,0.558427,0.569377,0.579929,0.589999,0.389709,0.401481,0.717406,0.689888,0.603201
J-120,0.223641,0.228227,0.232819,0.238171,0.245298,0.25478,0.264137,0.208923,0.224055,0.237794,0.250448,0.262083,0.272777,0.282602,0.291551,0.29975,0.307414,0.314554,0.321009,0.327337,0.332501,0.337079,0.356099,0.36256,0.36807,0.374373,0.380526,0.386674,0.0503645,0.0535251,0.0724695,0.0932305,0.14539,0.161435,0.177268,0.193665,0.218608,0.233451,0.248283,0.26257,0.279254,0.292347,0.305005,0.317226,0.329088,0.340588,0.351758,0.362644,0.371685,0.382032,0.39214,0.402054,0.408038,0.417685,0.427087,0.436299,0.443991,0.452926,0.461728,0.470429,0.479028,0.487593,0.496088,-2.8028,-3.1436,-3.84596,-0.874047,-0.780761,-0.719373,-0.644058,-0.575633,-0.516815,-0.472668,-0.425323,-0.387497,-0.356863,-0.335927,-0.313441,-0.293674,-0.276812,-0.262908,-0.249157,-0.236652,-0.225128,-0.213459,-0.203408,-0.193569,-0.183894,-0.169481,-0.158967,-0.148567,-0.138616,-0.122184,-0.111043,0.0906166,0.0631082,0.0455567
