 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-108,11.9743,11.5834,11.4607,11.5468,11.8665,12.407,13.4788,15.1771,16.3331,16.6678,16.8058,16.8156,16.7626,16.5959,16.5629,16.6044,16.756,17.146,17.7491,18.4542,18.6391,18.33,15.3179,13.6681,13.2036
J-109,0.202302,0.213421,0.242178,0.27023,0.296335,0.319813,0.512461,0.501908,0.467979,0.434992,0.467894,0.513336,0.551079,0.583432,0.621689,0.659451,0.696602,0.746479,0.806357,0.875474,0.927803,0.961979,0.982088,1.06526,1.12324
J-11,0.0761986,0.11722,0.156669,0.1922,0.223678,0.251672,0.336749,0.360258,0.382488,0.410967,0.443678,0.481531,0.521408,0.563997,0.603957,0.642007,0.677444,0.70973,0.748087,0.783546,0.826609,0.861811,0.926697,0.982176,1.02555
J-110,0.214439,0.222764,0.251067,0.279035,0.305082,0.328402,0.523277,0.512662,0.477408,0.441518,0.470306,0.515172,0.552895,0.586136,0.624977,0.662802,0.699217,0.747922,0.806633,0.875922,0.928919,0.963322,0.987348,1.07071,1.12938
J-111,0.203146,0.246773,0.284805,0.31954,0.35651,0.397169,0.663998,0.647527,0.623299,0.612963,0.620386,0.651304,0.696849,0.754825,0.799535,0.836891,0.863605,0.857696,0.911712,0.978396,1.0327,1.06529,1.17209,1.26102,1.30387
J-112,0.228485,0.234241,0.261912,0.289781,0.315879,0.339232,0.537143,0.526784,0.489999,0.451706,0.477837,0.521587,0.559224,0.593239,0.632502,0.670407,0.706379,0.753576,0.810412,0.87835,0.930916,0.965295,0.994989,1.07952,1.13995
J-113,0.00683325,0.0577437,0.102269,0.141963,0.178018,0.211194,0.264321,0.305737,0.345177,0.383436,0.420863,0.458556,0.49708,0.535893,0.574359,0.612241,0.649537,0.68622,0.724181,0.76388,0.805184,0.846235,0.886269,0.920395,0.950163
J-114,0.00387304,0.0547628,0.0992994,0.139007,0.175077,0.208242,0.261317,0.30269,0.342105,0.38036,0.417774,0.455477,0.494001,0.532841,0.571344,0.609246,0.646553,0.683227,0.721167,0.760785,0.802027,0.842986,0.883116,0.917446,0.947457
J-115,0.368897,0.411742,0.443809,0.475811,0.507477,0.538823,0.742364,0.734966,0.708572,0.691731,0.694531,0.723403,0.769495,0.830106,0.875479,0.913436,0.940583,0.941232,1.03646,1.12255,1.17635,1.20451,1.23708,1.32826,1.38131
J-116,0.231783,0.244065,0.271853,0.299452,0.325773,0.350127,0.558039,0.553713,0.526437,0.494861,0.514438,0.555867,0.59305,0.628323,0.668125,0.70579,0.740274,0.785669,0.84378,0.91343,0.966513,1.00048,1.01967,1.08455,1.13906
J-117,0.220144,0.229904,0.257049,0.284486,0.310597,0.334572,0.542403,0.536456,0.505523,0.47051,0.489125,0.530157,0.567515,0.603438,0.643406,0.681178,0.715538,0.759412,0.814702,0.880881,0.932131,0.96647,0.999287,1.06955,1.12595
J-118,0.189547,0.237066,0.27204,0.3044,0.335198,0.365351,0.580974,0.559901,0.52644,0.509235,0.513964,0.544159,0.590063,0.649069,0.694184,0.731682,0.758191,0.748676,0.826507,0.9059,0.961617,0.99365,1.07024,1.16732,1.2167
J-119,8.31048,8.28044,8.31243,8.39671,8.54574,8.76724,9.68558,10.135,10.4556,10.5552,10.6044,10.6235,10.63,10.6083,10.6245,10.6614,10.7279,10.8575,11.0514,11.2696,11.3343,11.2575,10.4393,10.0622,10.0048
J-12,0.0820886,0.121966,0.160708,0.195657,0.226526,0.253798,0.340429,0.36288,0.3857,0.413863,0.446532,0.484375,0.524313,0.567066,0.606982,0.644951,0.680295,0.712259,0.750149,0.783331,0.826635,0.861799,0.930485,0.983838,1.02784
J-120,8.01276,7.98258,8.01529,8.10143,8.25268,8.47789,9.4087,9.86512,10.1907,10.2919,10.3417,10.3606,10.3673,10.3445,10.3606,10.3979,10.4652,10.5968,10.7928,11.0144,11.0795,11.0013,10.1699,9.7865,9.72853
J-121,0.694225,0.702494,0.730739,0.765196,0.814963,0.88183,1.17641,1.27507,1.34299,1.37793,1.41227,1.44752,1.48291,1.51574,1.55147,1.58855,1.62806,1.67342,1.73546,1.79097,1.82689,1.8534,1.79063,1.75697,1.76579
J-122,1.36323,1.37725,1.40666,1.44472,1.50016,1.57504,1.88645,2.0036,2.08505,2.12485,2.16114,2.19622,2.2306,2.2611,2.29619,2.33353,2.37455,2.42385,2.49196,2.55452,2.59035,2.61132,2.51379,2.46589,2.47349
J-123,0.232262,0.239048,0.265437,0.292799,0.319063,0.343271,0.55232,0.548154,0.517092,0.480789,0.498076,0.538394,0.575562,0.611567,0.651631,0.689453,0.723786,0.767299,0.822052,0.887755,0.93842,0.972316,1.00569,1.07562,1.1332
J-124,0.222044,0.229973,0.256519,0.283739,0.309619,0.333362,0.539695,0.532719,0.501693,0.467476,0.486989,0.528579,0.56609,0.602004,0.642008,0.67978,0.714157,0.758152,0.813676,0.880036,0.931556,0.966241,0.998954,1.07076,1.12685
J-125,0.278117,0.27773,0.297399,0.321895,0.346821,0.371527,0.604945,0.594658,0.569002,0.544174,0.558681,0.596371,0.634566,0.67446,0.715368,0.752768,0.785376,0.820582,0.873523,0.938265,0.989965,1.02556,1.06843,1.13766,1.18813
J-126,0.249945,0.249404,0.268748,0.29307,0.317802,0.342494,0.575471,0.564804,0.538753,0.513619,0.528477,0.56625,0.604455,0.644297,0.685147,0.722568,0.755222,0.790426,0.843371,0.907918,0.959548,0.995218,1.03873,1.1086,1.15931
J-127,0.27322,0.292517,0.318529,0.346062,0.373505,0.399868,0.642568,0.647097,0.62563,0.5923,0.597631,0.629035,0.664159,0.701325,0.741279,0.778732,0.812299,0.850542,0.900457,0.962765,1.01254,1.04633,1.07905,1.14297,1.19346
J-128,0.21305,0.224604,0.255874,0.284937,0.311313,0.33426,0.520384,0.505494,0.466358,0.428414,0.463207,0.511423,0.548911,0.578774,0.61671,0.654621,0.692217,0.747105,0.809755,0.878081,0.929264,0.963619,0.986075,1.08143,1.1407
J-129,2.57911,2.55688,2.58022,2.62284,2.68434,2.76305,3.06387,3.22268,3.34057,3.39354,3.44899,3.4929,3.51995,3.52777,3.55708,3.59565,3.64787,3.74178,3.8707,4.01747,4.08291,4.07038,3.69687,3.58266,3.60572
J-13,0.090785,0.110474,0.152128,0.190771,0.233313,0.288288,0.829733,0.794866,0.764401,0.751513,0.758041,0.782766,0.816963,0.857676,0.895082,0.929598,0.959611,0.981209,1.00616,1.02799,1.05784,1.10204,1.20752,1.27722,1.32476
J-130,16.9451,16.5232,16.3456,16.4304,16.8322,17.5444,18.7107,20.9928,22.6293,23.1966,23.4506,23.4835,23.4107,23.1758,23.1107,23.1467,23.335,23.8431,24.637,25.5566,25.8128,25.4168,21.3782,19.0167,18.2006
J-132,0.241121,0.246352,0.268086,0.293041,0.317962,0.342238,0.572899,0.563868,0.538567,0.512444,0.526506,0.563926,0.601715,0.640907,0.681574,0.718943,0.751767,0.788248,0.840898,0.905525,0.957346,0.993106,1.03447,1.10288,1.15286
J-133,0.226513,0.226182,0.256484,0.285747,0.313103,0.338202,0.537229,0.521205,0.490733,0.465525,0.485733,0.529193,0.567875,0.605424,0.646398,0.684306,0.717888,0.759117,0.817953,0.890606,0.946043,0.981107,1.01694,1.1054,1.15456
J-134,0.244072,0.243827,0.274253,0.303659,0.33116,0.356407,0.55575,0.539882,0.509497,0.484346,0.504578,0.548044,0.586709,0.624256,0.66523,0.703171,0.736769,0.77803,0.836887,0.909518,0.96486,0.999834,1.03545,1.12405,1.17344
J-135,0.0660283,0.106599,0.146938,0.183239,0.21536,0.24375,0.323845,0.346282,0.361729,0.395352,0.436563,0.475891,0.51439,0.552674,0.590994,0.62914,0.667241,0.707061,0.756477,0.807443,0.850978,0.885681,0.932324,0.97043,1.01388
J-136,0.0881475,0.12422,0.162903,0.198001,0.229548,0.258728,0.357722,0.38017,0.386273,0.40555,0.447189,0.488752,0.526932,0.562787,0.600838,0.638998,0.677252,0.722428,0.77801,0.833723,0.878831,0.906868,0.946289,1.00158,1.04222
J-137,73.7254,73.449,73.3815,73.5281,73.9197,74.5348,75.6099,77.2269,78.3246,78.6906,78.8475,78.8592,78.8021,78.6407,78.5947,78.6165,78.7373,79.0612,79.5666,80.1207,80.2356,79.9492,77.2614,75.7061,75.2604
J-138,0.269273,0.268713,0.288158,0.312664,0.337624,0.362562,0.595974,0.585468,0.559413,0.534272,0.549275,0.587076,0.625287,0.665079,0.705926,0.743377,0.776085,0.811367,0.864365,0.928802,0.980261,1.01578,1.05911,1.12943,1.18066
J-139,0.600565,0.630516,0.663492,0.692317,0.715653,0.738048,1.14864,1.10422,1.07193,1.0605,1.06346,1.08331,1.11309,1.14973,1.1831,1.21394,1.24039,1.25886,1.27905,1.2993,1.33368,1.3778,1.47949,1.54442,1.58389
J-14,0.600526,0.63008,0.663178,0.692036,0.715367,0.737817,1.14916,1.10449,1.07196,1.0604,1.06335,1.08325,1.1131,1.14986,1.18328,1.21418,1.24064,1.25905,1.27915,1.29929,1.33361,1.37791,1.48035,1.54551,1.58501
J-140,0.631116,0.661123,0.694443,0.723569,0.747293,0.769993,1.18237,1.13691,1.10373,1.09185,1.09482,1.11486,1.14479,1.18164,1.21517,1.24614,1.27258,1.29083,1.31067,1.33003,1.36377,1.40775,1.51259,1.58054,1.62205
J-141,0.639272,0.660661,0.698492,0.731034,0.759579,0.790776,1.25573,1.20977,1.17257,1.15702,1.16033,1.18267,1.21531,1.25533,1.29143,1.32444,1.35238,1.37069,1.39043,1.40746,1.43845,1.45482,2.97996,1.68208,1.72695
J-142,0.66424,0.685568,0.723417,0.756099,0.78488,0.816497,1.28241,1.23751,1.2011,1.1858,1.1892,1.21151,1.24408,1.28396,1.32001,1.35305,1.38104,1.3996,1.41971,1.43717,1.46824,1.49207,3.02804,1.70782,1.7528
J-143,0.622747,0.644237,0.682066,0.71451,0.742796,0.773655,1.23785,1.19102,1.1532,1.13746,1.14068,1.16301,1.19569,1.23582,1.27196,1.30495,1.33281,1.35093,1.37038,1.38707,1.41802,1.44005,2.97664,1.66368,1.70884
J-144,0.240893,0.23857,0.264291,0.29237,0.319156,0.344734,0.559938,0.555867,0.537481,0.519065,0.535821,0.57172,0.61055,0.651544,0.692082,0.729607,0.76315,0.792577,0.847186,0.912768,0.962754,0.996583,1.04413,1.11936,1.16088
J-145,0.277256,0.274047,0.299492,0.327581,0.354449,0.380174,0.597482,0.592895,0.57528,0.557293,0.573449,0.609281,0.647977,0.688874,0.729438,0.766884,0.80034,0.830408,0.884172,0.950236,1.00055,1.03451,1.08341,1.15679,1.19749
J-146,0.234275,0.237759,0.263892,0.292081,0.318774,0.343896,0.558491,0.553524,0.534614,0.516689,0.533381,0.569066,0.608276,0.650091,0.690798,0.72831,0.761595,0.78891,0.844309,0.909696,0.959807,0.993858,1.04325,1.11805,1.16013
J-147,0.23796,0.243412,0.270874,0.298625,0.324677,0.348122,0.549203,0.539524,0.505481,0.471071,0.494747,0.538262,0.575981,0.610767,0.650328,0.688134,0.723337,0.769476,0.826987,0.894525,0.946259,0.980764,1.01053,1.08874,1.14714
J-148,0.230519,0.2364,0.263799,0.291503,0.317511,0.340924,0.541838,0.531939,0.497299,0.462111,0.485615,0.528914,0.566638,0.601492,0.641119,0.678954,0.714166,0.76001,0.816863,0.883376,0.934604,0.969063,1.00177,1.08168,1.14072
J-149,0.219974,0.240504,0.267599,0.296175,0.323227,0.347867,0.562358,0.550837,0.524567,0.505116,0.517643,0.550711,0.592477,0.640262,0.682549,0.720189,0.751471,0.763993,0.824406,0.888044,0.937075,0.971751,1.03835,1.11926,1.16976
J-15,0.239064,0.263112,0.303735,0.339066,0.373035,0.4144,0.927259,0.878375,0.837903,0.820816,0.824543,0.848128,0.882206,0.923976,0.96146,0.99552,1.02417,1.0425,1.06209,1.07823,1.10734,1.15455,1.28401,1.36514,1.41513
J-150,0.212001,0.220999,0.245507,0.273324,0.299357,0.323668,0.534632,0.518106,0.488916,0.471021,0.480306,0.510902,0.555715,0.610341,0.654289,0.69211,0.72134,0.725813,0.810838,0.885808,0.938743,0.973197,1.01848,1.10588,1.15633
J-151,0.211117,0.218241,0.242269,0.269918,0.29582,0.320005,0.529323,0.513232,0.484767,0.467481,0.476898,0.50772,0.552496,0.607114,0.651095,0.68891,0.718111,0.722864,0.809792,0.8858,0.938918,0.97339,1.01516,1.10199,1.15171
J-152,0.624134,0.658149,0.689687,0.717931,0.741916,0.764624,1.16769,1.12791,1.09991,1.09022,1.0938,1.11339,1.14237,1.1776,1.2101,1.24052,1.26704,1.28652,1.30866,1.33076,1.36529,1.34975,2.57235,1.56687,1.60408
J-153,0.628274,0.662301,0.693776,0.721993,0.745991,0.76878,1.17167,1.13261,1.10517,1.09572,1.09931,1.11879,1.14768,1.18279,1.21524,1.24564,1.27218,1.2918,1.31412,1.33661,1.37131,1.38844,2.66783,1.56665,1.60482
J-154,1.66271,1.64717,1.66816,1.70355,1.75397,1.81842,2.07182,2.20087,2.26396,2.2643,2.32636,2.3734,2.4033,2.41519,2.44476,2.48264,2.53319,2.61948,2.73218,2.85681,2.91883,2.92125,2.66387,2.61935,2.63892
J-155,1.48115,1.46795,1.48913,1.5235,1.5716,1.63172,1.87636,1.98498,2.03961,2.03824,2.09981,2.14678,2.17714,2.19003,2.21981,2.25761,2.30766,2.39195,2.50087,2.62038,2.68131,2.68674,2.44687,2.42608,2.44969
J-156,0.242914,0.251356,0.275876,0.303979,0.330601,0.355969,0.568013,0.553812,0.527143,0.510995,0.521788,0.552874,0.597409,0.650491,0.694036,0.731777,0.761471,0.765105,0.85071,0.927428,0.980917,1.01501,1.0551,1.13826,1.18703
J-157,0.228236,0.23686,0.261337,0.289289,0.315671,0.340682,0.552064,0.537294,0.51022,0.493846,0.504403,0.535321,0.57993,0.63345,0.67707,0.714833,0.744447,0.74848,0.834144,0.910463,0.963857,0.998044,1.03875,1.12273,1.17184
J-158,0.997823,1.01926,1.06422,1.10919,1.16176,1.22997,1.80778,1.79878,1.78653,1.77917,1.78786,1.81222,1.84494,1.88251,1.91915,1.95418,1.98641,2.01378,2.04734,2.07831,2.10777,2.14333,2.20127,2.25459,2.30376
J-159,0.113109,0.132556,0.174133,0.21293,0.255862,0.311517,0.854509,0.821503,0.792383,0.779926,0.786641,0.811358,0.845447,0.885918,0.923243,0.957781,0.987934,1.00996,1.03558,1.05819,1.0882,1.13194,1.23382,1.30173,1.34881
J-16,0.304497,0.332782,0.374275,0.408285,0.438022,0.472345,0.968864,0.915929,0.872937,0.855033,0.857934,0.881005,0.914864,0.956707,0.994048,1.02783,1.05595,1.0733,1.09132,1.10643,1.13627,1.18407,1.31879,1.4022,1.45226
J-160,0.724199,0.736169,0.777223,0.80394,0.815208,0.840574,1.35451,1.314,1.28788,1.27697,1.28363,1.30719,1.33977,1.37791,1.41432,1.44863,1.47955,1.50474,1.53645,1.56893,1.60212,1.63945,1.71361,1.78943,1.84461
J-161,0.266657,0.271887,0.293769,0.318955,0.344149,0.368743,0.600183,0.591374,0.566123,0.539944,0.554254,0.591729,0.629506,0.668616,0.709269,0.746697,0.779602,0.816208,0.868948,0.933443,0.985043,1.02058,1.0616,1.13059,1.18127
J-162,9.72726,9.74737,9.80079,9.87532,9.98079,10.1171,10.5495,10.7845,10.9523,11.0236,11.0722,11.1057,11.1324,11.148,11.1792,11.2186,11.2693,11.3434,11.4462,11.5437,11.5724,11.5483,11.2367,11.1237,11.1504
J-163,0.548382,0.560054,0.589374,0.623108,0.670023,0.73201,1.01833,1.10139,1.15772,1.18873,1.22144,1.25673,1.29295,1.32778,1.36424,1.40128,1.43962,1.48144,1.53785,1.58672,1.6211,1.65117,1.61847,1.60074,1.61448
J-164,0.272956,0.274389,0.303329,0.332709,0.360368,0.386107,0.593693,0.57648,0.546996,0.523982,0.542797,0.585237,0.624487,0.66419,0.705786,0.743714,0.776344,0.813566,0.877796,0.953085,1.00991,1.04516,1.07975,1.16597,1.21292
J-165,0.226869,0.229586,0.258224,0.287219,0.314433,0.339692,0.545107,0.527627,0.497898,0.474797,0.494233,0.536653,0.57593,0.615485,0.656917,0.694813,0.727655,0.764793,0.828597,0.903512,0.960195,0.995598,1.03077,1.11765,1.16463
J-166,0.561466,0.597492,0.629462,0.657697,0.681245,0.703097,1.10458,1.0617,1.03153,1.02137,1.02465,1.04415,1.07321,1.10879,1.14142,1.1718,1.19803,1.21679,1.23769,1.25854,1.293,1.32287,2.63054,1.49873,1.53852
J-167,0.443206,0.493785,0.524741,0.552055,0.575411,0.596012,0.982188,0.938845,0.90993,0.901528,0.904868,0.923558,0.951491,0.985693,1.01705,1.04647,1.07202,1.09037,1.11091,1.13157,1.16663,1.09995,2.13401,1.37869,1.41432
J-168,0.569681,0.593714,0.630232,0.661143,0.685882,0.710794,1.14817,1.0941,1.05243,1.0365,1.03911,1.06078,1.09294,1.1329,1.16842,1.20068,1.22745,1.24386,1.26067,1.27492,1.3066,1.33411,2.842,1.56642,1.61184
J-169,0.622447,0.64676,0.68351,0.714696,0.739587,0.76486,1.20344,1.14994,1.10866,1.09287,1.09542,1.11697,1.14905,1.1889,1.22438,1.25662,1.28342,1.29995,1.31684,1.33137,1.36307,1.41056,1.53925,1.6182,1.66457
J-17,0.203616,0.244243,0.276119,0.306583,0.334712,0.360953,0.556716,0.535089,0.496901,0.47961,0.483368,0.517941,0.561595,0.62167,0.667215,0.705204,0.73214,0.741556,0.831574,0.908227,0.958235,0.989976,1.03975,1.14588,1.20462
J-170,0.584638,0.606585,0.644226,0.67619,0.702667,0.732563,1.19311,1.14541,1.10713,1.09147,1.09434,1.11637,1.14891,1.18899,1.22498,1.25782,1.28545,1.30335,1.32226,1.33919,1.3709,1.41819,1.53951,1.61245,1.65646
J-171,0.608025,0.630162,0.668102,0.700323,0.727457,0.757494,1.21947,1.17076,1.13161,1.11554,1.1184,1.14055,1.17321,1.2135,1.24964,1.28254,1.31019,1.32786,1.34644,1.36258,1.39372,1.44084,1.56508,1.64065,1.68639
J-172,0.564424,0.586693,0.624472,0.65632,0.682494,0.711678,1.17093,1.12096,1.08101,1.06477,1.06744,1.08951,1.12218,1.16258,1.1987,1.23152,1.25901,1.27638,1.29449,1.31039,1.34179,1.38956,1.51547,1.59093,1.63583
J-173,0.685912,0.707317,0.74522,0.777964,0.806737,0.83866,1.30521,1.26116,1.22537,1.21032,1.21372,1.23592,1.26841,1.30816,1.34414,1.37715,1.40521,1.42393,1.44428,1.46215,1.49335,1.53904,1.65492,1.72716,1.77273
J-174,0.211638,0.218993,0.243192,0.2709,0.296897,0.321192,0.5313,0.515212,0.487091,0.470162,0.480937,0.512529,0.556945,0.610406,0.654151,0.691954,0.721442,0.727492,0.813393,0.889465,0.942917,0.977491,1.01825,1.10429,1.15351
J-175,0.218854,0.225375,0.251888,0.280389,0.307232,0.332439,0.545581,0.528417,0.500673,0.481691,0.498358,0.53819,0.578904,0.623008,0.665581,0.703425,0.734404,0.761204,0.834277,0.911218,0.967781,1.00298,1.03759,1.12041,1.16592
J-176,0.702109,0.723662,0.761647,0.794491,0.823222,0.855281,1.32227,1.27846,1.24282,1.22782,1.23119,1.25336,1.28579,1.32549,1.36146,1.39445,1.42252,1.4413,1.46166,1.47966,1.51091,1.55656,1.67185,1.74376,1.78919
J-177,0.665096,0.686423,0.724276,0.756962,0.785733,0.817377,1.2834,1.23853,1.20215,1.18686,1.19025,1.21256,1.24512,1.28499,1.32104,1.35406,1.38208,1.40063,1.42077,1.43825,1.46933,1.49444,3.03261,1.70864,1.75365
J-178,0.711784,0.733386,0.771501,0.804464,0.833528,0.865491,1.33275,1.28801,1.25163,1.23631,1.23968,1.26195,1.29449,1.33435,1.37042,1.40347,1.4315,1.45006,1.47017,1.48758,1.5185,1.54836,3.09402,1.75751,1.8032
J-179,0.630823,0.652333,0.69016,0.722597,0.750833,0.781821,1.24613,1.1998,1.16237,1.14676,1.15,1.17228,1.2049,1.24495,1.28104,1.31403,1.34191,1.36014,1.37971,1.39664,1.42771,1.47241,3.04734,1.66947,1.71523
J-18,0.804608,0.84577,0.870495,0.892153,0.910376,0.926108,1.23771,1.20032,1.17511,1.16766,1.16982,1.18456,1.20706,1.23496,1.26053,1.28438,1.30486,1.31912,1.33436,1.34957,1.37708,1.41029,1.49084,1.54882,1.5855
J-180,0.652649,0.674313,0.712266,0.744828,0.773159,0.804298,1.26911,1.22282,1.1854,1.16979,1.173,1.19525,1.22787,1.26791,1.30401,1.337,1.36489,1.38312,1.40266,1.41956,1.45058,1.49679,1.6171,1.69154,1.73769
J-181,0.669636,0.694033,0.72798,0.75723,0.780271,0.802796,1.22078,1.17169,1.13482,1.12102,1.12353,1.14404,1.17482,1.21294,1.24723,1.27864,1.30511,1.32247,1.34083,1.35824,1.3914,1.43735,1.55267,1.624,1.66608
J-182,0.69397,0.715459,0.753372,0.786161,0.814803,0.846842,1.31356,1.26987,1.23435,1.21939,1.22276,1.24492,1.27735,1.31703,1.35298,1.38597,1.41402,1.43283,1.45324,1.47133,1.50265,1.54835,1.66331,1.7349,1.7801
J-183,0.269591,0.271264,0.295965,0.323347,0.350488,0.375854,0.59205,0.593976,0.562468,0.522917,0.536529,0.573922,0.610316,0.646153,0.686044,0.723976,0.758748,0.801301,0.854283,0.917805,0.966163,0.998476,1.03235,1.10032,1.16295
J-184,0.682978,0.704604,0.742712,0.775584,0.804527,0.835963,1.30198,1.25577,1.21832,1.20261,1.20591,1.22829,1.26096,1.30106,1.3372,1.37026,1.39821,1.41645,1.43609,1.45282,1.48353,1.47682,2.96161,1.73093,1.77576
J-185,0.508303,0.527676,0.567381,0.603115,0.638537,0.681731,1.19855,1.12689,1.08084,1.06507,1.06975,1.09318,1.12651,1.16669,1.20373,1.23788,1.26744,1.2889,1.31481,1.34025,1.37185,1.41345,1.52463,1.63381,1.68513
J-186,13.4076,13.4007,13.4657,13.5991,13.8235,14.144,15.3598,15.9435,16.3536,16.4779,16.5365,16.5538,16.5537,16.518,16.533,16.5749,16.6545,16.8137,17.0492,17.3096,17.3625,17.2342,16.1842,15.7545,15.7362
J-187,1.21765,1.19262,1.21707,1.25104,1.29054,1.33694,1.58489,1.71934,1.81146,1.81906,1.88313,1.92945,1.95852,1.96843,1.99684,2.03451,2.08642,2.17569,2.29196,2.41826,2.481,2.48327,2.18332,2.12294,2.18565
J-188,0.233086,0.235215,0.254286,0.27866,0.303678,0.328826,0.564945,0.5505,0.5237,0.500834,0.517177,0.555788,0.594541,0.635034,0.676039,0.713408,0.745792,0.779956,0.833848,0.898652,0.950995,0.987441,1.03289,1.10346,1.15323
J-189,4.45924,4.49214,4.54386,4.61601,4.70656,4.81191,5.25423,5.42311,5.53465,5.55936,5.57854,5.60146,5.62523,5.64187,5.67652,5.71864,5.7697,5.84528,5.94666,6.05688,6.10077,6.08275,5.7988,5.75811,5.83423
J-19,0.516786,0.565876,0.595466,0.621458,0.643506,0.662752,1.03288,0.990953,0.963135,0.955134,0.958188,0.975918,1.00264,1.03549,1.06564,1.09394,1.11846,1.13617,1.1558,1.17584,1.20975,1.21201,2.32672,1.40584,1.44335
J-190,0.604025,0.674257,0.703126,0.733915,0.769289,0.809137,1.10255,1.14776,1.18208,1.18773,1.2003,1.2258,1.25552,1.28397,1.31891,1.3556,1.39415,1.4436,1.51074,1.59117,1.6505,1.67829,1.59406,1.5921,1.62118
J-191,0.273137,0.282519,0.305517,0.331082,0.356605,0.381271,0.621642,0.618614,0.595778,0.566396,0.574629,0.608088,0.644479,0.683132,0.723518,0.760859,0.793802,0.829859,0.879695,0.942078,0.992636,1.0277,1.0694,1.13646,1.18717
J-192,0.586436,0.608347,0.645958,0.677939,0.704375,0.73434,1.19491,1.14754,1.10953,1.09395,1.09684,1.11884,1.15137,1.1914,1.22737,1.26017,1.28784,1.3058,1.32482,1.34195,1.37374,1.421,1.54154,1.61397,1.65771
J-193,0.78247,0.80451,0.842979,0.876363,0.905621,0.938346,1.4079,1.36454,1.32916,1.31418,1.3175,1.33961,1.37198,1.41164,1.44764,1.48066,1.50878,1.52765,1.54808,1.56614,1.59716,1.64246,1.7569,1.82922,1.87542
J-194,0.202477,0.224137,0.251558,0.280217,0.307357,0.333237,0.547946,0.534196,0.5077,0.490458,0.502869,0.535768,0.578607,0.62829,0.671026,0.708673,0.739307,0.74771,0.815139,0.882816,0.933916,0.968559,1.0288,1.10975,1.1598
J-195,0.211393,0.234071,0.260822,0.289087,0.315368,0.338832,0.549714,0.542149,0.520416,0.502397,0.517106,0.551228,0.591763,0.636773,0.678222,0.715767,0.748037,0.766881,0.823689,0.886885,0.935899,0.970465,1.03105,1.10628,1.15221
J-196,0.0872197,0.245652,0.278245,0.303417,0.327612,0.351506,0.654101,0.644159,0.645602,0.649711,0.650291,0.664617,0.692215,0.726814,0.761881,0.796937,0.829746,0.860055,0.895196,0.938257,0.997032,1.04727,1.09328,1.11771,1.14096
